"Population"	"Mortality"	"base_good"	"base_med"	"base_bad"	"step_good"	"step_med"	"step_bad"
""	0.1	"987 (110-12112)"	"356 (46-2612)"	"81 (2-831)"	"320 (63-2865)"	"169 (31-800)"	"59 (3-416)"
""	0.2	"856 (82-10657)"	"291 (33-2312)"	"62 (1-630)"	"270 (46-2478)"	"126 (22-678)"	"43 (2-301)"
""	0.3	"721 (72-8412)"	"235 (30-2001)"	"41 (0-580)"	"208 (34-1973)"	"96 (18-518)"	"29 (1-204)"
"SRUMA"	0	"2938 (412-31284)"	"1157 (173-8352)"	"387 (15-3764)"	"1076 (186-8298)"	"629 (142-3041)"	"298 (27-1564)"
""	0.1	"2489 (342-25263)"	"1042 (159-6638)"	"310 (10-3072)"	"908 (180-7257)"	"548 (122-2751)"	"240 (23-1271)"
""	0.2	"2291 (305-23117)"	"897 (134-6401)"	"252 (6-2358)"	"786 (127-6093)"	"417 (91-2364)"	"179 (13-1089)"
""	0.3	"1853 (255-18373)"	"712 (99-6830)"	"190 (5-1802)"	"681 (118-5498)"	"351 (60-1501)"	"137 (8-764)"
"SRVAL"	0	"785 (98-9092)"	"269 (38-2154)"	"61 (1-542)"	"247 (45-1921)"	"126 (23-560)"	"42 (2-296)"
""	0.1	"669 (92-7802)"	"222 (26-1553)"	"50 (1-432)"	"209 (37-1628)"	"104 (16-478)"	"29 (2-243)"
""	0.2	"557 (77-6143)"	"184 (23-1368)"	"34 (0-372)"	"165 (24-1449)"	"74 (11-390)"	"22 (1-172)"
""	0.3	"469 (59-5217)"	"139 (19-1024)"	"22 (0-231)"	"131 (19-1219)"	"51 (8-301)"	"13 (1-116)"
"SRYFS"	0	"622 (73-8120)"	"206 (27-1611)"	"39 (0-407)"	"191 (30-1615)"	"86 (14-416)"	"26 (1-186)"
""	0.1	"538 (61-5883)"	"170 (24-1254)"	"30 (0-289)"	"159 (25-1215)"	"65 (10-328)"	"19 (1-140)"
""	0.2	"454 (56-5750)"	"134 (14-972)"	"21 (0-225)"	"122 (23-1101)"	"47 (7-267)"	"13 (0-106)"
""	0.3	"394 (44-4856)"	"105 (10-748)"	"12 (0-144)"	"96 (14-808)"	"32 (4-159)"	"7 (0-70)"
"UCENT"	0	"1177 (139-11943)"	"365 (47-2880)"	"69 (1-696)"	"340 (54-2600)"	"144 (26-819)"	"49 (3-348)"
""	0.1	"962 (113-12799)"	"302 (42-2036)"	"48 (0-578)"	"269 (47-2461)"	"119 (18-636)"	"34 (1-274)"
""	0.2	"785 (86-10649)"	"231 (26-1746)"	"34 (0-451)"	"214 (28-1908)"	"83 (11-461)"	"22 (1-205)"
""	0.3	"656 (81-8806)"	"174 (21-1389)"	"21 (0-313)"	"175 (22-1427)"	"58 (7-358)"	"13 (0-152)"
"UCMET"	0	"2405 (318-28031)"	"903 (128-7851)"	"222 (3-2646)"	"813 (130-5842)"	"410 (72-2304)"	"152 (8-1167)"
""	0.1	"2178 (264-24477)"	"776 (97-6516)"	"180 (1-1795)"	"705 (121-5863)"	"328 (55-1769)"	"110 (6-943)"
""	0.2	"1810 (244-24070)"	"619 (80-4894)"	"124 (1-1439)"	"558 (89-4560)"	"255 (43-1337)"	"86 (3-733)"
""	0.3	"1521 (207-19164)"	"456 (58-3715)"	"91 (1-912)"	"447 (68-3768)"	"177 (24-1111)"	"54 (2-479)"
"UCWEN"	0	"9987 (796-196590)"	"1584 (161-16810)"	"92 (0-1904)"	"1295 (108-21396)"	"295 (27-2171)"	"46 (1-664)"
""	0.1	"7458 (614-139277)"	"1063 (82-10475)"	"62 (0-1326)"	"926 (71-19148)"	"176 (15-1644)"	"25 (1-465)"
""	0.2	"5384 (416-103719)"	"700 (49-7700)"	"33 (0-889)"	"589 (36-11796)"	"102 (6-1082)"	"14 (0-276)"
""	0.3	"4013 (276-94554)"	"407 (21-4753)"	"17 (0-460)"	"347 (19-9325)"	"48 (3-660)"	"7 (0-178)"
